,X1,X2,X3,X4,Y(T1),Y(T2),Y(T3),Y(T4),Y(T5)
1,0.9694,0.6909,0.4334,3.4965,A,A,A,A,A
2,0.5427,1.3832,0.639,4.0352,A,A,A,A,A
3,0.6081,-0.9196,0.5925,0.1016,B,B,B,B,B
4,-0.1618,0.4694,0.203,3.0117,A,A,A,A,A
5,0.187,-0.2578,0.6124,1.7749,A,A,A,A,A
6,0.4891,-0.5276,0.4378,0.6439,B,B,B,B,B
7,0.3777,2.0149,0.7423,3.3932,B,B,B,B,B
8,1.1498,-0.4067,0.2469,1.5866,B,B,B,B,B
9,0.9325,1.095,1.0359,3.3591,B,B,B,B,B
10,0.506,1.3317,0.9222,3.7174,A,A,A,A,A
11,0.0497,-2.0656,0.6124,-0.6585,A,A,A,A,A
12,0.4004,3.5369,0.9766,5.3532,B,B,B,B,B
13,-0.1874,1.3343,0.5374,3.2189,A,A,A,A,A
14,0.506,1.3317,0.9222,3.7174,A,A,A,A,A
15,1.6375,-0.7911,0.7537,0.5515,B,B,B,B,B
